code,canonicalCode,displayCode,sectionNumber,sectionTitle,sourceMeaningEn,normalizedMeaningRu,equipmentSide,proposedRuntimeFolder,sourceManualId,sourceManualPath,sourceLineOrContext,alreadyInRuntime,existingRuntimePath,action,reason
L0,L0,,2.1,Malfunction list for the wired controller,Malfunction of indoor unit,неисправность of внутренний блок,indoor,gmv-mini/indoor,gree-gmv-mini-service-manual,artifacts/manual-intake/sources/gree/SERVICE_MANUAL_GMV_MINI.pdf,"Malfunction list for wired controller, PDF page 81 / manual page 77",no,,add-runtime,GMV Mini service manual has an exact table row and no GMV Mini runtime card exists.
L1,L1,,2.1,Malfunction list for the wired controller,Indoor fan protection,Indoor fan защита,indoor,gmv-mini/indoor,gree-gmv-mini-service-manual,artifacts/manual-intake/sources/gree/SERVICE_MANUAL_GMV_MINI.pdf,"Malfunction list for wired controller, PDF page 81 / manual page 77",no,,add-runtime,GMV Mini service manual has an exact table row and no GMV Mini runtime card exists.
L2,L2,,2.1,Malfunction list for the wired controller,E-heater protection,E-heater защита,indoor,gmv-mini/indoor,gree-gmv-mini-service-manual,artifacts/manual-intake/sources/gree/SERVICE_MANUAL_GMV_MINI.pdf,"Malfunction list for wired controller, PDF page 81 / manual page 77",no,,add-runtime,GMV Mini service manual has an exact table row and no GMV Mini runtime card exists.
L3,L3,,2.1,Malfunction list for the wired controller,Water overflow protection,Water overfнизкое защита,indoor,gmv-mini/indoor,gree-gmv-mini-service-manual,artifacts/manual-intake/sources/gree/SERVICE_MANUAL_GMV_MINI.pdf,"Malfunction list for wired controller, PDF page 81 / manual page 77",no,,add-runtime,GMV Mini service manual has an exact table row and no GMV Mini runtime card exists.
L4,L4,,2.1,Malfunction list for the wired controller,Power supply of wired controller is faulted,Power supply of wired controller is faulted,indoor,gmv-mini/indoor,gree-gmv-mini-service-manual,artifacts/manual-intake/sources/gree/SERVICE_MANUAL_GMV_MINI.pdf,"Malfunction list for wired controller, PDF page 81 / manual page 77",no,,add-runtime,GMV Mini service manual has an exact table row and no GMV Mini runtime card exists.
L5,L5,,2.1,Malfunction list for the wired controller,Freeze prevention protection,Freeze prevention защита,indoor,gmv-mini/indoor,gree-gmv-mini-service-manual,artifacts/manual-intake/sources/gree/SERVICE_MANUAL_GMV_MINI.pdf,"Malfunction list for wired controller, PDF page 81 / manual page 77",no,,add-runtime,GMV Mini service manual has an exact table row and no GMV Mini runtime card exists.
L6,L6,,2.1,Malfunction list for the wired controller,Mode shock,Mode shock,indoor,gmv-mini/indoor,gree-gmv-mini-service-manual,artifacts/manual-intake/sources/gree/SERVICE_MANUAL_GMV_MINI.pdf,"Malfunction list for wired controller, PDF page 81 / manual page 77",no,,add-runtime,GMV Mini service manual has an exact table row and no GMV Mini runtime card exists.
L7,L7,,2.1,Malfunction list for the wired controller,No main indoor unit,No main внутренний блок,indoor,gmv-mini/indoor,gree-gmv-mini-service-manual,artifacts/manual-intake/sources/gree/SERVICE_MANUAL_GMV_MINI.pdf,"Malfunction list for wired controller, PDF page 81 / manual page 77",no,,add-runtime,GMV Mini service manual has an exact table row and no GMV Mini runtime card exists.
L8,L8,,2.1,Malfunction list for the wired controller,Insufficient power supply,Insufficient power supply,indoor,gmv-mini/indoor,gree-gmv-mini-service-manual,artifacts/manual-intake/sources/gree/SERVICE_MANUAL_GMV_MINI.pdf,"Malfunction list for wired controller, PDF page 81 / manual page 77",no,,add-runtime,GMV Mini service manual has an exact table row and no GMV Mini runtime card exists.
L9,L9,,2.1,Malfunction list for the wired controller,Wrong number of indoor unit for one-to-more indoor unit,неверное значение number of внутренний блок for one-to-more внутренний блок,indoor,gmv-mini/indoor,gree-gmv-mini-service-manual,artifacts/manual-intake/sources/gree/SERVICE_MANUAL_GMV_MINI.pdf,"Malfunction list for wired controller, PDF page 81 / manual page 77",no,,add-runtime,GMV Mini service manual has an exact table row and no GMV Mini runtime card exists.
LA,LA,,2.1,Malfunction list for the wired controller,Wrong series for one-to-more indoor unit,неверное значение series for one-to-more внутренний блок,indoor,gmv-mini/indoor,gree-gmv-mini-service-manual,artifacts/manual-intake/sources/gree/SERVICE_MANUAL_GMV_MINI.pdf,"Malfunction list for wired controller, PDF page 81 / manual page 77",no,,add-runtime,GMV Mini service manual has an exact table row and no GMV Mini runtime card exists.
LH,LH,,2.1,Malfunction list for the wired controller,Alarming due to bad air quality,предупреждениеing due to bad air quality,indoor,gmv-mini/indoor,gree-gmv-mini-service-manual,artifacts/manual-intake/sources/gree/SERVICE_MANUAL_GMV_MINI.pdf,"Malfunction list for wired controller, PDF page 81 / manual page 77",no,,add-runtime,GMV Mini service manual has an exact table row and no GMV Mini runtime card exists.
LC,LC,,2.1,Malfunction list for the wired controller,The indoor unit model can't match with outdoor unit model,The внутренний блок режимl can't match with наружный блок режимl,indoor,gmv-mini/indoor,gree-gmv-mini-service-manual,artifacts/manual-intake/sources/gree/SERVICE_MANUAL_GMV_MINI.pdf,"Malfunction list for wired controller, PDF page 81 / manual page 77",no,,add-runtime,GMV Mini service manual has an exact table row and no GMV Mini runtime card exists.
d1,d1,,2.1,Malfunction list for the wired controller,Poor indoor PCB,Poor indoor PCB,indoor,gmv-mini/indoor,gree-gmv-mini-service-manual,artifacts/manual-intake/sources/gree/SERVICE_MANUAL_GMV_MINI.pdf,"Malfunction list for wired controller, PDF page 81 / manual page 77",no,,add-runtime,GMV Mini service manual has an exact table row and no GMV Mini runtime card exists.
d3,d3,,2.1,Malfunction list for the wired controller,Malfunction of ambient temperature sensor,неисправность of ambient датчик температуры,indoor,gmv-mini/indoor,gree-gmv-mini-service-manual,artifacts/manual-intake/sources/gree/SERVICE_MANUAL_GMV_MINI.pdf,"Malfunction list for wired controller, PDF page 81 / manual page 77",no,,add-runtime,GMV Mini service manual has an exact table row and no GMV Mini runtime card exists.
d4,d4,,2.1,Malfunction list for the wired controller,Malfunction of entry tube temperature sensor,неисправность of entry tube датчик температуры,indoor,gmv-mini/indoor,gree-gmv-mini-service-manual,artifacts/manual-intake/sources/gree/SERVICE_MANUAL_GMV_MINI.pdf,"Malfunction list for wired controller, PDF page 81 / manual page 77",no,,add-runtime,GMV Mini service manual has an exact table row and no GMV Mini runtime card exists.
d6,d6,,2.1,Malfunction list for the wired controller,Malfunction of exit tube temperature sensor,неисправность of exit tube датчик температуры,indoor,gmv-mini/indoor,gree-gmv-mini-service-manual,artifacts/manual-intake/sources/gree/SERVICE_MANUAL_GMV_MINI.pdf,"Malfunction list for wired controller, PDF page 81 / manual page 77",no,,add-runtime,GMV Mini service manual has an exact table row and no GMV Mini runtime card exists.
d7,d7,,2.1,Malfunction list for the wired controller,Malfunction of humidity sensor,неисправность of humidity sensor,indoor,gmv-mini/indoor,gree-gmv-mini-service-manual,artifacts/manual-intake/sources/gree/SERVICE_MANUAL_GMV_MINI.pdf,"Malfunction list for wired controller, PDF page 81 / manual page 77",no,,add-runtime,GMV Mini service manual has an exact table row and no GMV Mini runtime card exists.
d8,d8,,2.1,Malfunction list for the wired controller,Malfunction of water temperature sensor,неисправность of water датчик температуры,indoor,gmv-mini/indoor,gree-gmv-mini-service-manual,artifacts/manual-intake/sources/gree/SERVICE_MANUAL_GMV_MINI.pdf,"Malfunction list for wired controller, PDF page 81 / manual page 77",no,,add-runtime,GMV Mini service manual has an exact table row and no GMV Mini runtime card exists.
d9,d9,,2.1,Malfunction list for the wired controller,Malfunction of jumper cap,неисправность of jumper cap,indoor,gmv-mini/indoor,gree-gmv-mini-service-manual,artifacts/manual-intake/sources/gree/SERVICE_MANUAL_GMV_MINI.pdf,"Malfunction list for wired controller, PDF page 81 / manual page 77",no,,add-runtime,GMV Mini service manual has an exact table row and no GMV Mini runtime card exists.
dA,dA,,2.1,Malfunction list for the wired controller,Abnormal address for indoor unit,ненормальное состояние address for внутренний блок,indoor,gmv-mini/indoor,gree-gmv-mini-service-manual,artifacts/manual-intake/sources/gree/SERVICE_MANUAL_GMV_MINI.pdf,"Malfunction list for wired controller, PDF page 81 / manual page 77",no,,add-runtime,GMV Mini service manual has an exact table row and no GMV Mini runtime card exists.
dH,dH,,2.1,Malfunction list for the wired controller,Abnormal PCB for wired controller,ненормальное состояние PCB for wired controller,indoor,gmv-mini/indoor,gree-gmv-mini-service-manual,artifacts/manual-intake/sources/gree/SERVICE_MANUAL_GMV_MINI.pdf,"Malfunction list for wired controller, PDF page 81 / manual page 77",no,,add-runtime,GMV Mini service manual has an exact table row and no GMV Mini runtime card exists.
dC,dC,,2.1,Malfunction list for the wired controller,Abnormal code-dialing setting of capacity,ненормальное состояние code-dialing настройка of capacity,indoor,gmv-mini/indoor,gree-gmv-mini-service-manual,artifacts/manual-intake/sources/gree/SERVICE_MANUAL_GMV_MINI.pdf,"Malfunction list for wired controller, PDF page 81 / manual page 77",no,,add-runtime,GMV Mini service manual has an exact table row and no GMV Mini runtime card exists.
dL,dL,,2.1,Malfunction list for the wired controller,Malfunction of air exhause temperature sensor,неисправность of air exhause датчик температуры,indoor,gmv-mini/indoor,gree-gmv-mini-service-manual,artifacts/manual-intake/sources/gree/SERVICE_MANUAL_GMV_MINI.pdf,"Malfunction list for wired controller, PDF page 81 / manual page 77",no,,add-runtime,GMV Mini service manual has an exact table row and no GMV Mini runtime card exists.
dE,dE,,2.1,Malfunction list for the wired controller,Malfunction of indoor CO2 sensor,неисправность of indoor CO2 sensor,indoor,gmv-mini/indoor,gree-gmv-mini-service-manual,artifacts/manual-intake/sources/gree/SERVICE_MANUAL_GMV_MINI.pdf,"Malfunction list for wired controller, PDF page 81 / manual page 77",no,,add-runtime,GMV Mini service manual has an exact table row and no GMV Mini runtime card exists.
db,db,,2.1,Malfunction list for the wired controller,Special code: engineering debugging code,Special code: engineering debugging code,status,gmv-mini/status,gree-gmv-mini-service-manual,artifacts/manual-intake/sources/gree/SERVICE_MANUAL_GMV_MINI.pdf,"Malfunction list for wired controller, PDF page 81 / manual page 77",no,,add-runtime,GMV Mini service manual has an exact table row and no GMV Mini runtime card exists.
E0,E0,,2.2,Status display table for indicators on main board of outdoor unit,Malfunction of outdoor unit,неисправность of наружный блок,outdoor,gmv-mini/outdoor,gree-gmv-mini-service-manual,artifacts/manual-intake/sources/gree/SERVICE_MANUAL_GMV_MINI.pdf,"Outdoor main-board status display table, PDF pages 82-83 / manual pages 78-79",no,,add-runtime,GMV Mini service manual has an exact table row and no GMV Mini runtime card exists.
E1,E1,,2.2,Status display table for indicators on main board of outdoor unit,High pressure protection,высокое давление защита,outdoor,gmv-mini/outdoor,gree-gmv-mini-service-manual,artifacts/manual-intake/sources/gree/SERVICE_MANUAL_GMV_MINI.pdf,"Outdoor main-board status display table, PDF pages 82-83 / manual pages 78-79",no,,add-runtime,GMV Mini service manual has an exact table row and no GMV Mini runtime card exists.
E2,E2,,2.2,Status display table for indicators on main board of outdoor unit,Low-temperature protection for discharge,низкотемпературная защита for discharge,outdoor,gmv-mini/outdoor,gree-gmv-mini-service-manual,artifacts/manual-intake/sources/gree/SERVICE_MANUAL_GMV_MINI.pdf,"Outdoor main-board status display table, PDF pages 82-83 / manual pages 78-79",no,,add-runtime,GMV Mini service manual has an exact table row and no GMV Mini runtime card exists.
E3,E3,,2.2,Status display table for indicators on main board of outdoor unit,Low pressure protection,низкое давление защита,outdoor,gmv-mini/outdoor,gree-gmv-mini-service-manual,artifacts/manual-intake/sources/gree/SERVICE_MANUAL_GMV_MINI.pdf,"Outdoor main-board status display table, PDF pages 82-83 / manual pages 78-79",no,,add-runtime,GMV Mini service manual has an exact table row and no GMV Mini runtime card exists.
E4,E4,,2.2,Status display table for indicators on main board of outdoor unit,Discharge high temperature protection for compressor,Discharge высокая температура защита for компрессор,outdoor,gmv-mini/outdoor,gree-gmv-mini-service-manual,artifacts/manual-intake/sources/gree/SERVICE_MANUAL_GMV_MINI.pdf,"Outdoor main-board status display table, PDF pages 82-83 / manual pages 78-79",no,,add-runtime,GMV Mini service manual has an exact table row and no GMV Mini runtime card exists.
F0,F0,,2.2,Status display table for indicators on main board of outdoor unit,Poor main board of outdoor unit,Poor main board of наружный блок,outdoor,gmv-mini/outdoor,gree-gmv-mini-service-manual,artifacts/manual-intake/sources/gree/SERVICE_MANUAL_GMV_MINI.pdf,"Outdoor main-board status display table, PDF pages 82-83 / manual pages 78-79",no,,add-runtime,GMV Mini service manual has an exact table row and no GMV Mini runtime card exists.
F1,F1,,2.2,Status display table for indicators on main board of outdoor unit,Malfunction of high pressure sensor,неисправность of высокое давление sensor,outdoor,gmv-mini/outdoor,gree-gmv-mini-service-manual,artifacts/manual-intake/sources/gree/SERVICE_MANUAL_GMV_MINI.pdf,"Outdoor main-board status display table, PDF pages 82-83 / manual pages 78-79",no,,add-runtime,GMV Mini service manual has an exact table row and no GMV Mini runtime card exists.
F3,F3,,2.2,Status display table for indicators on main board of outdoor unit,Malfunction of low pressure sensor,неисправность of низкое давление sensor,outdoor,gmv-mini/outdoor,gree-gmv-mini-service-manual,artifacts/manual-intake/sources/gree/SERVICE_MANUAL_GMV_MINI.pdf,"Outdoor main-board status display table, PDF pages 82-83 / manual pages 78-79",no,,add-runtime,GMV Mini service manual has an exact table row and no GMV Mini runtime card exists.
F5,F5,,2.2,Status display table for indicators on main board of outdoor unit,Malfunction of discharge temperature sensor for compressor 1,неисправность of discharge датчик температуры for компрессор 1,outdoor,gmv-mini/outdoor,gree-gmv-mini-service-manual,artifacts/manual-intake/sources/gree/SERVICE_MANUAL_GMV_MINI.pdf,"Outdoor main-board status display table, PDF pages 82-83 / manual pages 78-79",no,,add-runtime,GMV Mini service manual has an exact table row and no GMV Mini runtime card exists.
FP,FP,,2.2,Status display table for indicators on main board of outdoor unit,Malfunction of DC motor,неисправность of DC motor,outdoor,gmv-mini/outdoor,gree-gmv-mini-service-manual,artifacts/manual-intake/sources/gree/SERVICE_MANUAL_GMV_MINI.pdf,"Outdoor main-board status display table, PDF pages 82-83 / manual pages 78-79",no,,add-runtime,GMV Mini service manual has an exact table row and no GMV Mini runtime card exists.
J0,J0,,2.2,Status display table for indicators on main board of outdoor unit,Other module protection,Other module защита,outdoor,gmv-mini/outdoor,gree-gmv-mini-service-manual,artifacts/manual-intake/sources/gree/SERVICE_MANUAL_GMV_MINI.pdf,"Outdoor main-board status display table, PDF pages 82-83 / manual pages 78-79",no,,add-runtime,GMV Mini service manual has an exact table row and no GMV Mini runtime card exists.
J1,J1,,2.2,Status display table for indicators on main board of outdoor unit,Overcurrent protection for compressor 1,Overcurrent защита for компрессор 1,outdoor,gmv-mini/outdoor,gree-gmv-mini-service-manual,artifacts/manual-intake/sources/gree/SERVICE_MANUAL_GMV_MINI.pdf,"Outdoor main-board status display table, PDF pages 82-83 / manual pages 78-79",no,,add-runtime,GMV Mini service manual has an exact table row and no GMV Mini runtime card exists.
J7,J7,,2.2,Status display table for indicators on main board of outdoor unit,Air-mixing protection for 4-way valve,Air-mixing защита for 4-way valve,outdoor,gmv-mini/outdoor,gree-gmv-mini-service-manual,artifacts/manual-intake/sources/gree/SERVICE_MANUAL_GMV_MINI.pdf,"Outdoor main-board status display table, PDF pages 82-83 / manual pages 78-79",no,,add-runtime,GMV Mini service manual has an exact table row and no GMV Mini runtime card exists.
J8,J8,,2.2,Status display table for indicators on main board of outdoor unit,High pressure ratio protection of system,высокое давление ratio защита of system,outdoor,gmv-mini/outdoor,gree-gmv-mini-service-manual,artifacts/manual-intake/sources/gree/SERVICE_MANUAL_GMV_MINI.pdf,"Outdoor main-board status display table, PDF pages 82-83 / manual pages 78-79",no,,add-runtime,GMV Mini service manual has an exact table row and no GMV Mini runtime card exists.
J9,J9,,2.2,Status display table for indicators on main board of outdoor unit,Low pressure ratio protection of system,низкое давление ratio защита of system,outdoor,gmv-mini/outdoor,gree-gmv-mini-service-manual,artifacts/manual-intake/sources/gree/SERVICE_MANUAL_GMV_MINI.pdf,"Outdoor main-board status display table, PDF pages 82-83 / manual pages 78-79",no,,add-runtime,GMV Mini service manual has an exact table row and no GMV Mini runtime card exists.
JL,JL,,2.2,Status display table for indicators on main board of outdoor unit,High pressure is too low,высокое давление is too низкое,outdoor,gmv-mini/outdoor,gree-gmv-mini-service-manual,artifacts/manual-intake/sources/gree/SERVICE_MANUAL_GMV_MINI.pdf,"Outdoor main-board status display table, PDF pages 82-83 / manual pages 78-79",no,,add-runtime,GMV Mini service manual has an exact table row and no GMV Mini runtime card exists.
b1,b1,,2.2,Status display table for indicators on main board of outdoor unit,Malfunction for outdoor ambient temperature sensor,неисправность for outdoor ambient датчик температуры,outdoor,gmv-mini/outdoor,gree-gmv-mini-service-manual,artifacts/manual-intake/sources/gree/SERVICE_MANUAL_GMV_MINI.pdf,"Outdoor main-board status display table, PDF pages 82-83 / manual pages 78-79",no,,add-runtime,GMV Mini service manual has an exact table row and no GMV Mini runtime card exists.
b2,b2,,2.2,Status display table for indicators on main board of outdoor unit,Malfunction of defrosting temperature sensor 1,неисправность of defrosting датчик температуры 1,outdoor,gmv-mini/outdoor,gree-gmv-mini-service-manual,artifacts/manual-intake/sources/gree/SERVICE_MANUAL_GMV_MINI.pdf,"Outdoor main-board status display table, PDF pages 82-83 / manual pages 78-79",no,,add-runtime,GMV Mini service manual has an exact table row and no GMV Mini runtime card exists.
b3,b3,,2.2,Status display table for indicators on main board of outdoor unit,Malfunction of defrosting temperature sensor 2,неисправность of defrosting датчик температуры 2,outdoor,gmv-mini/outdoor,gree-gmv-mini-service-manual,artifacts/manual-intake/sources/gree/SERVICE_MANUAL_GMV_MINI.pdf,"Outdoor main-board status display table, PDF pages 82-83 / manual pages 78-79",no,,add-runtime,GMV Mini service manual has an exact table row and no GMV Mini runtime card exists.
b4,b4,,2.2,Status display table for indicators on main board of outdoor unit,Malfunction of liquid temperature sensor for subcooler,неисправность of liquid датчик температуры for subcooler,outdoor,gmv-mini/outdoor,gree-gmv-mini-service-manual,artifacts/manual-intake/sources/gree/SERVICE_MANUAL_GMV_MINI.pdf,"Outdoor main-board status display table, PDF pages 82-83 / manual pages 78-79",no,,add-runtime,GMV Mini service manual has an exact table row and no GMV Mini runtime card exists.
b5,b5,,2.2,Status display table for indicators on main board of outdoor unit,Malfunction of gas temperature sensor for subcooler,неисправность of gas датчик температуры for subcooler,outdoor,gmv-mini/outdoor,gree-gmv-mini-service-manual,artifacts/manual-intake/sources/gree/SERVICE_MANUAL_GMV_MINI.pdf,"Outdoor main-board status display table, PDF pages 82-83 / manual pages 78-79",no,,add-runtime,GMV Mini service manual has an exact table row and no GMV Mini runtime card exists.
b6,b6,,2.2,Status display table for indicators on main board of outdoor unit,Malfunction for temperature sensor of inlet tube of gas and liquid separator,неисправность for датчик температуры of inlet tube of gas and liquid separator,outdoor,gmv-mini/outdoor,gree-gmv-mini-service-manual,artifacts/manual-intake/sources/gree/SERVICE_MANUAL_GMV_MINI.pdf,"Outdoor main-board status display table, PDF pages 82-83 / manual pages 78-79",no,,add-runtime,GMV Mini service manual has an exact table row and no GMV Mini runtime card exists.
b7,b7,,2.2,Status display table for indicators on main board of outdoor unit,Malfunction for temperature sensor of exit tube of gas and liquid separator (exit tube A),неисправность for датчик температуры of exit tube of gas and liquid separator (exit tube A),outdoor,gmv-mini/outdoor,gree-gmv-mini-service-manual,artifacts/manual-intake/sources/gree/SERVICE_MANUAL_GMV_MINI.pdf,"Outdoor main-board status display table, PDF pages 82-83 / manual pages 78-79",no,,add-runtime,GMV Mini service manual has an exact table row and no GMV Mini runtime card exists.
b9,b9,,2.2,Status display table for indicators on main board of outdoor unit,Malfunction of gas exit temperature sensor for heat exchanger,неисправность of gas exit датчик температуры for heat exchanger,outdoor,gmv-mini/outdoor,gree-gmv-mini-service-manual,artifacts/manual-intake/sources/gree/SERVICE_MANUAL_GMV_MINI.pdf,"Outdoor main-board status display table, PDF pages 82-83 / manual pages 78-79",no,,add-runtime,GMV Mini service manual has an exact table row and no GMV Mini runtime card exists.
bH,bH,,2.2,Status display table for indicators on main board of outdoor unit,Abnormal clock of system,ненормальное состояние clock of system,outdoor,gmv-mini/outdoor,gree-gmv-mini-service-manual,artifacts/manual-intake/sources/gree/SERVICE_MANUAL_GMV_MINI.pdf,"Outdoor main-board status display table, PDF pages 82-83 / manual pages 78-79",no,,add-runtime,GMV Mini service manual has an exact table row and no GMV Mini runtime card exists.
P0,P0,,2.2,Status display table for indicators on main board of outdoor unit,Malfunction driven board for compressor,неисправность driven board for компрессор,outdoor,gmv-mini/outdoor,gree-gmv-mini-service-manual,artifacts/manual-intake/sources/gree/SERVICE_MANUAL_GMV_MINI.pdf,"Outdoor main-board status display table, PDF pages 82-83 / manual pages 78-79",no,,add-runtime,GMV Mini service manual has an exact table row and no GMV Mini runtime card exists.
P1,P1,,2.2,Status display table for indicators on main board of outdoor unit,Driven board of compressor works abnormally,Driven board of компрессор works ненормальное состояниеly,outdoor,gmv-mini/outdoor,gree-gmv-mini-service-manual,artifacts/manual-intake/sources/gree/SERVICE_MANUAL_GMV_MINI.pdf,"Outdoor main-board status display table, PDF pages 82-83 / manual pages 78-79",no,,add-runtime,GMV Mini service manual has an exact table row and no GMV Mini runtime card exists.
P2,P2,,2.2,Status display table for indicators on main board of outdoor unit,Power voltage protection for the driven board of compressor,Power voltage защита for the driven board of компрессор,outdoor,gmv-mini/outdoor,gree-gmv-mini-service-manual,artifacts/manual-intake/sources/gree/SERVICE_MANUAL_GMV_MINI.pdf,"Outdoor main-board status display table, PDF pages 82-83 / manual pages 78-79",no,,add-runtime,GMV Mini service manual has an exact table row and no GMV Mini runtime card exists.
P3,P3,,2.2,Status display table for indicators on main board of outdoor unit,Reset protection for the driven module of compressor,Reset защита for the driven module of компрессор,outdoor,gmv-mini/outdoor,gree-gmv-mini-service-manual,artifacts/manual-intake/sources/gree/SERVICE_MANUAL_GMV_MINI.pdf,"Outdoor main-board status display table, PDF pages 82-83 / manual pages 78-79",no,,add-runtime,GMV Mini service manual has an exact table row and no GMV Mini runtime card exists.
P4,P4,,2.2,Status display table for indicators on main board of outdoor unit,Driven PFC protection of compressor,Driven PFC защита of компрессор,outdoor,gmv-mini/outdoor,gree-gmv-mini-service-manual,artifacts/manual-intake/sources/gree/SERVICE_MANUAL_GMV_MINI.pdf,"Outdoor main-board status display table, PDF pages 82-83 / manual pages 78-79",no,,add-runtime,GMV Mini service manual has an exact table row and no GMV Mini runtime card exists.
P5,P5,,2.2,Status display table for indicators on main board of outdoor unit,Overcurrent protection for inverter compressor,Overcurrent защита for inverter компрессор,outdoor,gmv-mini/outdoor,gree-gmv-mini-service-manual,artifacts/manual-intake/sources/gree/SERVICE_MANUAL_GMV_MINI.pdf,"Outdoor main-board status display table, PDF pages 82-83 / manual pages 78-79",no,,add-runtime,GMV Mini service manual has an exact table row and no GMV Mini runtime card exists.
P6,P6,,2.2,Status display table for indicators on main board of outdoor unit,Driven IPM module protection for compressor,Driven IPM module защита for компрессор,outdoor,gmv-mini/outdoor,gree-gmv-mini-service-manual,artifacts/manual-intake/sources/gree/SERVICE_MANUAL_GMV_MINI.pdf,"Outdoor main-board status display table, PDF pages 82-83 / manual pages 78-79",no,,add-runtime,GMV Mini service manual has an exact table row and no GMV Mini runtime card exists.
P7,P7,,2.2,Status display table for indicators on main board of outdoor unit,Malfunction of driven temperature sensor for compressor,неисправность of driven датчик температуры for компрессор,outdoor,gmv-mini/outdoor,gree-gmv-mini-service-manual,artifacts/manual-intake/sources/gree/SERVICE_MANUAL_GMV_MINI.pdf,"Outdoor main-board status display table, PDF pages 82-83 / manual pages 78-79",no,,add-runtime,GMV Mini service manual has an exact table row and no GMV Mini runtime card exists.
P8,P8,,2.2,Status display table for indicators on main board of outdoor unit,Overheating protection for driven IPM of compressor,Overheating защита for driven IPM of компрессор,outdoor,gmv-mini/outdoor,gree-gmv-mini-service-manual,artifacts/manual-intake/sources/gree/SERVICE_MANUAL_GMV_MINI.pdf,"Outdoor main-board status display table, PDF pages 82-83 / manual pages 78-79",no,,add-runtime,GMV Mini service manual has an exact table row and no GMV Mini runtime card exists.
P9,P9,,2.2,Status display table for indicators on main board of outdoor unit,Desynchronizing protection for inverter compressor,Desynchronizing защита for inverter компрессор,outdoor,gmv-mini/outdoor,gree-gmv-mini-service-manual,artifacts/manual-intake/sources/gree/SERVICE_MANUAL_GMV_MINI.pdf,"Outdoor main-board status display table, PDF pages 82-83 / manual pages 78-79",no,,add-runtime,GMV Mini service manual has an exact table row and no GMV Mini runtime card exists.
PH,PH,,2.2,Status display table for indicators on main board of outdoor unit,High voltage protection for driven DC bus bar of compressor,высокое напряжение защита for driven DC bus bar of компрессор,outdoor,gmv-mini/outdoor,gree-gmv-mini-service-manual,artifacts/manual-intake/sources/gree/SERVICE_MANUAL_GMV_MINI.pdf,"Outdoor main-board status display table, PDF pages 82-83 / manual pages 78-79",no,,add-runtime,GMV Mini service manual has an exact table row and no GMV Mini runtime card exists.
