code,officialCode,sourceCardPath,rawCardPath,existingRuntimePath,proposedRuntimePath,decision,reason,sourceMeaning,equipmentType,categoryFolder,conflicts,safetyNotes,sourceReferences,addedRuntimeEntryId
by,by,data/reference/gree-official-support-error-catalog/review/Gree-GMV-by.review.json,data/reference/gree-official-support-error-catalog/raw/cards/Gree-GMV-by/by GMV.jpg,,data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/by.json,needs-human-source-review,"Clear source meaning, but card is GMV-W water heat pump VRF and GMV6 applicability is not confirmed; code spelling is visually unusual.",Water outlet temperature wrap fault,water-heat-pump-vrf,outdoor,"GMV-W source label; lowercase by visual ambiguity; not in current GMV6 runtime manual set","Do not tell users to open panels, measure live circuits, or replace temperature wrap/main board directly.","Gree official support error code catalog|Gree-GMV-by|data/reference/gree-official-support-error-catalog/raw/cards/Gree-GMV-by/by GMV.jpg",
E5,E5,data/reference/gree-official-support-error-catalog/review/Gree-GMV-E5.review.json,data/reference/gree-official-support-error-catalog/raw/cards/Gree-GMV-E5/E5 GMV.png,,data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/e5.json,needs-human-source-review,"Source card has conflicting visible meanings and older GMVT context, so a safe normalized GMV6 answer cannot be created without human source resolution.","Temperature of radiating fin is too high / Overcurrent Protection / compressor overcurrent protection",outdoor,outdoor,"Multiple meanings on same card; GMVT source label; troubleshooting contains direct replacement steps","Keep as blocked until one authoritative meaning and GMV6 applicability are confirmed.","Gree official support error code catalog|Gree-GMV-E5|data/reference/gree-official-support-error-catalog/raw/cards/Gree-GMV-E5/E5 GMV.png",
E6,E6,data/reference/gree-official-support-error-catalog/review/Gree-GMV-E6.review.json,data/reference/gree-official-support-error-catalog/raw/cards/Gree-GMV-E6/E6  GMV.png,,data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/e6.json,needs-human-source-review,"Card meaning is clear, but it is a broad communication-error flow from older Digital Multi VRF material and does not clearly map to a GMV6 runtime category.",Communication error,communication,outdoor,"GMVT/Digital Multi VRF context; broad communication-code overlap with existing C0-style GMV communication entries","Visible text would need qualified-service-only communication checks and no direct rewiring advice.","Gree official support error code catalog|Gree-GMV-E6|data/reference/gree-official-support-error-catalog/raw/cards/Gree-GMV-E6/E6  GMV.png",
E7,E7,data/reference/gree-official-support-error-catalog/review/Gree-GMV-E7.review.json,data/reference/gree-official-support-error-catalog/raw/cards/Gree-GMV-E7/E7 GMV.png,,data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/e7.json,needs-human-source-review,"Table-only GMVT/wired-controller card gives a meaning, but no GMV6 applicability or safe diagnostic procedure is confirmed.",Mode conflict,controller,outdoor,"GMVT Digital Multi VRF table-only evidence; proposed outdoor folder is not supported by the card","Do not present as a confirmed outdoor-unit fault without model context.","Gree official support error code catalog|Gree-GMV-E7|data/reference/gree-official-support-error-catalog/raw/cards/Gree-GMV-E7/E7 GMV.png",
E9,E9,data/reference/gree-official-support-error-catalog/review/Gree-GMV-E9.review.json,data/reference/gree-official-support-error-catalog/raw/cards/Gree-GMV-E9/Eb E9 GMV.png,,data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/e9.json,needs-human-source-review,"Shared Eb/E9 cassette water-full card conflicts with the proposed outdoor GMV6 path and needs source review before runtime use.",Water-full protection (Cassette),indoor-cassette,outdoor,"Shared Eb/E9 card; indoor cassette meaning conflicts with proposed outdoor category; GMVT/wired-controller context","Do not advise pump, liquid-level switch, or main-board replacement directly to consumers.","Gree official support error code catalog|Gree-GMV-E9|data/reference/gree-official-support-error-catalog/raw/cards/Gree-GMV-E9/Eb E9 GMV.png",
eA,EA,data/reference/gree-official-support-error-catalog/review/Gree-GMV-eA.review.json,data/reference/gree-official-support-error-catalog/raw/cards/Gree-GMV-eA/EA GMV.png,,data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/ea.json,needs-human-source-review,"Tiny table-only card shows uppercase EA while inventory code is eA; casing and GMV6 applicability need human confirmation.",Oil solenoid valve protection,outdoor,outdoor,"Official image shows EA; inventory key is eA; table-only evidence","Do not create runtime casing until source spelling is confirmed.","Gree official support error code catalog|Gree-GMV-eA|data/reference/gree-official-support-error-catalog/raw/cards/Gree-GMV-eA/EA GMV.png",
Eb,Eb,data/reference/gree-official-support-error-catalog/review/Gree-GMV-Eb.review.json,data/reference/gree-official-support-error-catalog/raw/cards/Gree-GMV-Eb/Eb E9 GMV.png,,data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/eb.json,needs-human-source-review,"Shared Eb/E9 cassette water-full card conflicts with the proposed outdoor GMV6 path and needs source review before runtime use.",Water-full protection (Cassette),indoor-cassette,outdoor,"Shared Eb/E9 card; indoor cassette meaning conflicts with proposed outdoor category; GMVT/wired-controller context","Do not advise pump, liquid-level switch, or main-board replacement directly to consumers.","Gree official support error code catalog|Gree-GMV-Eb|data/reference/gree-official-support-error-catalog/raw/cards/Gree-GMV-Eb/Eb E9 GMV.png",
EE,EE,data/reference/gree-official-support-error-catalog/review/Gree-GMV-EE.review.json,data/reference/gree-official-support-error-catalog/raw/cards/Gree-GMV-EE/EE GMV.png,,data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/ee.json,needs-human-source-review,"Table-only GMVT controller card lacks GMV6 runtime category and diagnostic scope.",Remote lock,controller,outdoor,"GMVT Digital Multi VRF table-only evidence; remote-lock status may not be outdoor protection","Keep as non-runtime until exact GMV6 context and display source are confirmed.","Gree official support error code catalog|Gree-GMV-EE|data/reference/gree-official-support-error-catalog/raw/cards/Gree-GMV-EE/EE GMV.png",
eH,EH,data/reference/gree-official-support-error-catalog/review/Gree-GMV-eH.review.json,data/reference/gree-official-support-error-catalog/raw/cards/Gree-GMV-eH/EH GMV.png,,data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/eh.json,needs-human-source-review,"Tiny table-only card shows uppercase EH while inventory code is eH; equipment side and GMV6 applicability are not clear.",Auxiliary heater error,indoor-or-controller,outdoor,"Official image shows EH; inventory key is eH; auxiliary-heater context conflicts with proposed outdoor category","Do not create runtime casing or equipment category until source spelling and model context are confirmed.","Gree official support error code catalog|Gree-GMV-eH|data/reference/gree-official-support-error-catalog/raw/cards/Gree-GMV-eH/EH GMV.png",
F2,F2,data/reference/gree-official-support-error-catalog/review/Gree-GMV-F2.review.json,data/reference/gree-official-support-error-catalog/raw/cards/Gree-GMV-F2/F2 GMV.jpg,,data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/f2.json,still-blocked,"Source meaning is clear, but the card is GMV-W water heat pump VRF and does not confirm GMV6 applicability.",Plate type heat exchanger inlet pipe temperature sensor fault,water-heat-pump-vrf,outdoor,"GMV-W source label; water heat pump plate-heat-exchanger component is not mapped to current GMV6 package boundary","Consumer text must not advise opening equipment or replacing sensors/boards.","Gree official support error code catalog|Gree-GMV-F2|data/reference/gree-official-support-error-catalog/raw/cards/Gree-GMV-F2/F2 GMV.jpg",
F4,F4,data/reference/gree-official-support-error-catalog/review/Gree-GMV-F4.review.json,data/reference/gree-official-support-error-catalog/raw/cards/Gree-GMV-F4/F4 GMV.png,,data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/f4.json,needs-human-source-review,"Card includes both a small GMV table meaning and a GMV-W water heat pump sensor card; the conflict must be resolved before runtime use.",Outdoor ambient temperature sensor error / plate type heat exchanger outlet pipe temperature sensor fault,water-heat-pump-vrf,outdoor,"Conflicting meanings on same image; GMV-W source label; proposed outdoor category is too broad","Do not normalize until the authoritative meaning for GMV6 is selected.","Gree official support error code catalog|Gree-GMV-F4|data/reference/gree-official-support-error-catalog/raw/cards/Gree-GMV-F4/F4 GMV.png",
FH,FH,data/reference/gree-official-support-error-catalog/review/Gree-GMV-FH.review.json,data/reference/gree-official-support-error-catalog/raw/cards/Gree-GMV-FH/FH GMV.PNG,,data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/fh.json,still-blocked,"Source meaning is clear, but the card does not establish GMV6 applicability beyond the generic GMV support model.",Abnormal current sensor of compressor 1,outdoor,outdoor,"Generic GMV official-support card only; not in current GMV6 manual package set","Visible text would need qualified-service sensor checks and no direct board replacement advice.","Gree official support error code catalog|Gree-GMV-FH|data/reference/gree-official-support-error-catalog/raw/cards/Gree-GMV-FH/FH GMV.PNG",
Fy,Fy,data/reference/gree-official-support-error-catalog/review/Gree-GMV-Fy.review.json,data/reference/gree-official-support-error-catalog/raw/cards/Gree-GMV-Fy/Fy GMV.jpg,,data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/fy.json,still-blocked,"Source meaning is clear, but the card is GMV-W water heat pump VRF and does not confirm GMV6 applicability.",Water inlet temperature wrap fault,water-heat-pump-vrf,outdoor,"GMV-W source label; water heat pump component is not mapped to current GMV6 package boundary","Consumer text must not advise replacing temperature wrap/main board.","Gree official support error code catalog|Gree-GMV-Fy|data/reference/gree-official-support-error-catalog/raw/cards/Gree-GMV-Fy/Fy GMV.jpg",
Ho,HO,data/reference/gree-official-support-error-catalog/review/Gree-GMV-Ho.review.json,data/reference/gree-official-support-error-catalog/raw/cards/Gree-GMV-Ho/HO GMV.png,,data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/ho.json,needs-human-source-review,"Table-only card shows uppercase HO and has Ho/H0 visual ambiguity; source is not enough for runtime use.",Marking of master hand controller,controller,outdoor,"Visual ambiguity Ho/H0/HO; table-only GMVT controller evidence","Do not auto-map visually ambiguous controller/status codes.","Gree official support error code catalog|Gree-GMV-Ho|data/reference/gree-official-support-error-catalog/raw/cards/Gree-GMV-Ho/HO GMV.png",
JJ,JJ,data/reference/gree-official-support-error-catalog/review/Gree-GMV-JJ.review.json,data/reference/gree-official-support-error-catalog/raw/cards/Gree-GMV-JJ/JJ GMV.jpg,,data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/jj.json,still-blocked,"Source meaning is clear, but the card is GMV-W water heat pump VRF and does not confirm GMV6 applicability.",Water inlet undertemperature protection,water-heat-pump-vrf,outdoor,"GMV-W source label; hydronic protection not mapped to current GMV6 package boundary","Do not advise operation during protection state; checks require qualified service context.","Gree official support error code catalog|Gree-GMV-JJ|data/reference/gree-official-support-error-catalog/raw/cards/Gree-GMV-JJ/JJ GMV.jpg",
Jn,Jn,data/reference/gree-official-support-error-catalog/review/Gree-GMV-Jn.review.json,data/reference/gree-official-support-error-catalog/raw/cards/Gree-GMV-Jn/Jn GMV.jpg,,data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/jn.json,still-blocked,"Source meaning is clear, but the card is GMV-W water heat pump VRF and does not confirm GMV6 applicability.",Water flow abnormality protection,water-heat-pump-vrf,outdoor,"GMV-W source label; water-flow system checks are not mapped to current GMV6 package boundary","Consumer text must not advise opening water system or forcing operation.","Gree official support error code catalog|Gree-GMV-Jn|data/reference/gree-official-support-error-catalog/raw/cards/Gree-GMV-Jn/Jn GMV.jpg",
Jy,Jy,data/reference/gree-official-support-error-catalog/review/Gree-GMV-Jy.review.json,data/reference/gree-official-support-error-catalog/raw/cards/Gree-GMV-Jy/Jy GMV.jpg,,data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/jy.json,still-blocked,"Source meaning is clear, but the card is GMV-W water heat pump VRF and does not confirm GMV6 applicability.",Inlet water temperature abnormal protection,water-heat-pump-vrf,outdoor,"GMV-W source label; hydronic operating range is not mapped to current GMV6 package boundary","Consumer text must not advise sensor or main-board replacement.","Gree official support error code catalog|Gree-GMV-Jy|data/reference/gree-official-support-error-catalog/raw/cards/Gree-GMV-Jy/Jy GMV.jpg",
Ld,Ld,data/reference/gree-official-support-error-catalog/review/Gree-GMV-Ld.review.json,data/reference/gree-official-support-error-catalog/raw/cards/Gree-GMV-Ld/Ld GMV.png,,data/equipment-diagnostics/error-knowledge/gree/gmv6/indoor/ld.json,still-blocked,"Source meaning is clear, but the card is not in the current GMV6 manual package set and needs applicability confirmation before adding a new indoor runtime code.",Protection for indoor fan (Fan 2),indoor,indoor,"Generic GMV official-support card only; direct replacement instruction must be normalized before any future runtime use","Visible text must only advise qualified-service checks with power off and no direct board replacement.","Gree official support error code catalog|Gree-GMV-Ld|data/reference/gree-official-support-error-catalog/raw/cards/Gree-GMV-Ld/Ld GMV.png",
N2,n2,data/reference/gree-official-support-error-catalog/review/Gree-GMV-N2.review.json,data/reference/gree-official-support-error-catalog/raw/cards/Gree-GMV-N2/n2 GMV.PNG,,data/equipment-diagnostics/error-knowledge/gree/gmv6/status/n2.json,needs-human-source-review,"Source card is a clear status code, but ED-24GEC.8 flagged a GMV Mini conflict and the official image uses lowercase n2 while the inventory key is N2.",Settings status of maximum capacity configuration rate for indoor and outdoor units,status,status,"GMV Mini conflict; casing conflict N2/n2; not a fault; troubleshooting not required","If later added, it should be reference/status-only and must not look like an active fault.","Gree official support error code catalog|Gree-GMV-N2|data/reference/gree-official-support-error-catalog/raw/cards/Gree-GMV-N2/n2 GMV.PNG",
No,No,data/reference/gree-official-support-error-catalog/review/Gree-GMV-No.review.json,data/reference/gree-official-support-error-catalog/raw/cards/Gree-GMV-No/No GMV.png,,data/equipment-diagnostics/error-knowledge/gree/gmv6/status/no.json,needs-human-source-review,"Table-only card has No/N0 visual ambiguity and no diagnostic procedure; do not promote without human source confirmation.",No master indoor unit code,status-or-controller,status,"Visual ambiguity No/N0; table-only GMVT controller evidence","Do not auto-map visually ambiguous status/controller codes.","Gree official support error code catalog|Gree-GMV-No|data/reference/gree-official-support-error-catalog/raw/cards/Gree-GMV-No/No GMV.png",
