"seriesCandidate","code","canonicalCode","sourceManualId","sourcePath","actionRecommendation","reason"
"X series","L0","L0","gree-gmv-x-owner-manual","artifacts/manual-intake/sources/gree/Owner's Manual GMV X DC Inverter VRF Units.pdf","needs-manual-review","Owner manual provides an error/status table row, but this inventory stage has no GMV X service or after-sales maintenance manual evidence for runtime-ready troubleshooting text."
"X series","L1","L1","gree-gmv-x-owner-manual","artifacts/manual-intake/sources/gree/Owner's Manual GMV X DC Inverter VRF Units.pdf","needs-manual-review","Owner manual provides an error/status table row, but this inventory stage has no GMV X service or after-sales maintenance manual evidence for runtime-ready troubleshooting text."
"X series","L3","L3","gree-gmv-x-owner-manual","artifacts/manual-intake/sources/gree/Owner's Manual GMV X DC Inverter VRF Units.pdf","needs-manual-review","Owner manual provides an error/status table row, but this inventory stage has no GMV X service or after-sales maintenance manual evidence for runtime-ready troubleshooting text."
"X series","L6","L6","gree-gmv-x-owner-manual","artifacts/manual-intake/sources/gree/Owner's Manual GMV X DC Inverter VRF Units.pdf","needs-manual-review","Owner manual provides an error/status table row, but this inventory stage has no GMV X service or after-sales maintenance manual evidence for runtime-ready troubleshooting text."
"X series","d1","D1","gree-gmv-x-owner-manual","artifacts/manual-intake/sources/gree/Owner's Manual GMV X DC Inverter VRF Units.pdf","needs-manual-review","Owner manual provides an error/status table row, but this inventory stage has no GMV X service or after-sales maintenance manual evidence for runtime-ready troubleshooting text."
"X series","d3","D3","gree-gmv-x-owner-manual","artifacts/manual-intake/sources/gree/Owner's Manual GMV X DC Inverter VRF Units.pdf","needs-manual-review","Owner manual provides an error/status table row, but this inventory stage has no GMV X service or after-sales maintenance manual evidence for runtime-ready troubleshooting text."
"X series","d4","D4","gree-gmv-x-owner-manual","artifacts/manual-intake/sources/gree/Owner's Manual GMV X DC Inverter VRF Units.pdf","needs-manual-review","Owner manual provides an error/status table row, but this inventory stage has no GMV X service or after-sales maintenance manual evidence for runtime-ready troubleshooting text."
"X series","d6","D6","gree-gmv-x-owner-manual","artifacts/manual-intake/sources/gree/Owner's Manual GMV X DC Inverter VRF Units.pdf","needs-manual-review","Owner manual provides an error/status table row, but this inventory stage has no GMV X service or after-sales maintenance manual evidence for runtime-ready troubleshooting text."
"X series","o1","O1","gree-gmv-x-owner-manual","artifacts/manual-intake/sources/gree/Owner's Manual GMV X DC Inverter VRF Units.pdf","needs-manual-review","Owner manual provides an error/status table row, but this inventory stage has no GMV X service or after-sales maintenance manual evidence for runtime-ready troubleshooting text."
"X series","o3","O3","gree-gmv-x-owner-manual","artifacts/manual-intake/sources/gree/Owner's Manual GMV X DC Inverter VRF Units.pdf","needs-manual-review","Owner manual provides an error/status table row, but this inventory stage has no GMV X service or after-sales maintenance manual evidence for runtime-ready troubleshooting text."
"X series","o8","O8","gree-gmv-x-owner-manual","artifacts/manual-intake/sources/gree/Owner's Manual GMV X DC Inverter VRF Units.pdf","needs-manual-review","Owner manual provides an error/status table row, but this inventory stage has no GMV X service or after-sales maintenance manual evidence for runtime-ready troubleshooting text."
"X series","E0","E0","gree-gmv-x-owner-manual","artifacts/manual-intake/sources/gree/Owner's Manual GMV X DC Inverter VRF Units.pdf","needs-manual-review","Owner manual provides an error/status table row, but this inventory stage has no GMV X service or after-sales maintenance manual evidence for runtime-ready troubleshooting text."
"X series","E1","E1","gree-gmv-x-owner-manual","artifacts/manual-intake/sources/gree/Owner's Manual GMV X DC Inverter VRF Units.pdf","needs-manual-review","Owner manual provides an error/status table row, but this inventory stage has no GMV X service or after-sales maintenance manual evidence for runtime-ready troubleshooting text."
"X series","E3","E3","gree-gmv-x-owner-manual","artifacts/manual-intake/sources/gree/Owner's Manual GMV X DC Inverter VRF Units.pdf","needs-manual-review","Owner manual provides an error/status table row, but this inventory stage has no GMV X service or after-sales maintenance manual evidence for runtime-ready troubleshooting text."
"X series","E4","E4","gree-gmv-x-owner-manual","artifacts/manual-intake/sources/gree/Owner's Manual GMV X DC Inverter VRF Units.pdf","needs-manual-review","Owner manual provides an error/status table row, but this inventory stage has no GMV X service or after-sales maintenance manual evidence for runtime-ready troubleshooting text."
"X series","F0","F0","gree-gmv-x-owner-manual","artifacts/manual-intake/sources/gree/Owner's Manual GMV X DC Inverter VRF Units.pdf","needs-manual-review","Owner manual provides an error/status table row, but this inventory stage has no GMV X service or after-sales maintenance manual evidence for runtime-ready troubleshooting text."
"X series","F1","F1","gree-gmv-x-owner-manual","artifacts/manual-intake/sources/gree/Owner's Manual GMV X DC Inverter VRF Units.pdf","needs-manual-review","Owner manual provides an error/status table row, but this inventory stage has no GMV X service or after-sales maintenance manual evidence for runtime-ready troubleshooting text."
"X series","F3","F3","gree-gmv-x-owner-manual","artifacts/manual-intake/sources/gree/Owner's Manual GMV X DC Inverter VRF Units.pdf","needs-manual-review","Owner manual provides an error/status table row, but this inventory stage has no GMV X service or after-sales maintenance manual evidence for runtime-ready troubleshooting text."
"X series","F5","F5","gree-gmv-x-owner-manual","artifacts/manual-intake/sources/gree/Owner's Manual GMV X DC Inverter VRF Units.pdf","needs-manual-review","Owner manual provides an error/status table row, but this inventory stage has no GMV X service or after-sales maintenance manual evidence for runtime-ready troubleshooting text."
"X series","J1","J1","gree-gmv-x-owner-manual","artifacts/manual-intake/sources/gree/Owner's Manual GMV X DC Inverter VRF Units.pdf","needs-manual-review","Owner manual provides an error/status table row, but this inventory stage has no GMV X service or after-sales maintenance manual evidence for runtime-ready troubleshooting text."
"X series","J7","J7","gree-gmv-x-owner-manual","artifacts/manual-intake/sources/gree/Owner's Manual GMV X DC Inverter VRF Units.pdf","needs-manual-review","Owner manual provides an error/status table row, but this inventory stage has no GMV X service or after-sales maintenance manual evidence for runtime-ready troubleshooting text."
"X series","J8","J8","gree-gmv-x-owner-manual","artifacts/manual-intake/sources/gree/Owner's Manual GMV X DC Inverter VRF Units.pdf","needs-manual-review","Owner manual provides an error/status table row, but this inventory stage has no GMV X service or after-sales maintenance manual evidence for runtime-ready troubleshooting text."
"X series","J9","J9","gree-gmv-x-owner-manual","artifacts/manual-intake/sources/gree/Owner's Manual GMV X DC Inverter VRF Units.pdf","needs-manual-review","Owner manual provides an error/status table row, but this inventory stage has no GMV X service or after-sales maintenance manual evidence for runtime-ready troubleshooting text."
"X series","P0","P0","gree-gmv-x-owner-manual","artifacts/manual-intake/sources/gree/Owner's Manual GMV X DC Inverter VRF Units.pdf","needs-manual-review","Owner manual provides an error/status table row, but this inventory stage has no GMV X service or after-sales maintenance manual evidence for runtime-ready troubleshooting text."
"X series","P5","P5","gree-gmv-x-owner-manual","artifacts/manual-intake/sources/gree/Owner's Manual GMV X DC Inverter VRF Units.pdf","needs-manual-review","Owner manual provides an error/status table row, but this inventory stage has no GMV X service or after-sales maintenance manual evidence for runtime-ready troubleshooting text."
"X series","P6","P6","gree-gmv-x-owner-manual","artifacts/manual-intake/sources/gree/Owner's Manual GMV X DC Inverter VRF Units.pdf","needs-manual-review","Owner manual provides an error/status table row, but this inventory stage has no GMV X service or after-sales maintenance manual evidence for runtime-ready troubleshooting text."
"X series","P8","P8","gree-gmv-x-owner-manual","artifacts/manual-intake/sources/gree/Owner's Manual GMV X DC Inverter VRF Units.pdf","needs-manual-review","Owner manual provides an error/status table row, but this inventory stage has no GMV X service or after-sales maintenance manual evidence for runtime-ready troubleshooting text."
"X series","H0","H0","gree-gmv-x-owner-manual","artifacts/manual-intake/sources/gree/Owner's Manual GMV X DC Inverter VRF Units.pdf","needs-manual-review","Owner manual provides an error/status table row, but this inventory stage has no GMV X service or after-sales maintenance manual evidence for runtime-ready troubleshooting text."
"X series","H5","H5","gree-gmv-x-owner-manual","artifacts/manual-intake/sources/gree/Owner's Manual GMV X DC Inverter VRF Units.pdf","needs-manual-review","Owner manual provides an error/status table row, but this inventory stage has no GMV X service or after-sales maintenance manual evidence for runtime-ready troubleshooting text."
"X series","H6","H6","gree-gmv-x-owner-manual","artifacts/manual-intake/sources/gree/Owner's Manual GMV X DC Inverter VRF Units.pdf","needs-manual-review","Owner manual provides an error/status table row, but this inventory stage has no GMV X service or after-sales maintenance manual evidence for runtime-ready troubleshooting text."
"X series","H8","H8","gree-gmv-x-owner-manual","artifacts/manual-intake/sources/gree/Owner's Manual GMV X DC Inverter VRF Units.pdf","needs-manual-review","Owner manual provides an error/status table row, but this inventory stage has no GMV X service or after-sales maintenance manual evidence for runtime-ready troubleshooting text."
"X series","G0","G0","gree-gmv-x-owner-manual","artifacts/manual-intake/sources/gree/Owner's Manual GMV X DC Inverter VRF Units.pdf","needs-manual-review","Owner manual provides an error/status table row, but this inventory stage has no GMV X service or after-sales maintenance manual evidence for runtime-ready troubleshooting text."
"X series","G1","G1","gree-gmv-x-owner-manual","artifacts/manual-intake/sources/gree/Owner's Manual GMV X DC Inverter VRF Units.pdf","needs-manual-review","Owner manual provides an error/status table row, but this inventory stage has no GMV X service or after-sales maintenance manual evidence for runtime-ready troubleshooting text."
"X series","G2","G2","gree-gmv-x-owner-manual","artifacts/manual-intake/sources/gree/Owner's Manual GMV X DC Inverter VRF Units.pdf","needs-manual-review","Owner manual provides an error/status table row, but this inventory stage has no GMV X service or after-sales maintenance manual evidence for runtime-ready troubleshooting text."
"X series","G8","G8","gree-gmv-x-owner-manual","artifacts/manual-intake/sources/gree/Owner's Manual GMV X DC Inverter VRF Units.pdf","needs-manual-review","Owner manual provides an error/status table row, but this inventory stage has no GMV X service or after-sales maintenance manual evidence for runtime-ready troubleshooting text."
"X series","U0","U0","gree-gmv-x-owner-manual","artifacts/manual-intake/sources/gree/Owner's Manual GMV X DC Inverter VRF Units.pdf","needs-manual-review","Owner manual provides an error/status table row, but this inventory stage has no GMV X service or after-sales maintenance manual evidence for runtime-ready troubleshooting text."
"X series","U4","U4","gree-gmv-x-owner-manual","artifacts/manual-intake/sources/gree/Owner's Manual GMV X DC Inverter VRF Units.pdf","needs-manual-review","Owner manual provides an error/status table row, but this inventory stage has no GMV X service or after-sales maintenance manual evidence for runtime-ready troubleshooting text."
"X series","U6","U6","gree-gmv-x-owner-manual","artifacts/manual-intake/sources/gree/Owner's Manual GMV X DC Inverter VRF Units.pdf","needs-manual-review","Owner manual provides an error/status table row, but this inventory stage has no GMV X service or after-sales maintenance manual evidence for runtime-ready troubleshooting text."
"X series","U8","U8","gree-gmv-x-owner-manual","artifacts/manual-intake/sources/gree/Owner's Manual GMV X DC Inverter VRF Units.pdf","needs-manual-review","Owner manual provides an error/status table row, but this inventory stage has no GMV X service or after-sales maintenance manual evidence for runtime-ready troubleshooting text."
"X series","U9","U9","gree-gmv-x-owner-manual","artifacts/manual-intake/sources/gree/Owner's Manual GMV X DC Inverter VRF Units.pdf","needs-manual-review","Owner manual provides an error/status table row, but this inventory stage has no GMV X service or after-sales maintenance manual evidence for runtime-ready troubleshooting text."
"X series","C0","C0","gree-gmv-x-owner-manual","artifacts/manual-intake/sources/gree/Owner's Manual GMV X DC Inverter VRF Units.pdf","needs-manual-review","Owner manual provides an error/status table row, but this inventory stage has no GMV X service or after-sales maintenance manual evidence for runtime-ready troubleshooting text."
"X series","C2","C2","gree-gmv-x-owner-manual","artifacts/manual-intake/sources/gree/Owner's Manual GMV X DC Inverter VRF Units.pdf","needs-manual-review","Owner manual provides an error/status table row, but this inventory stage has no GMV X service or after-sales maintenance manual evidence for runtime-ready troubleshooting text."
"X series","C3","C3","gree-gmv-x-owner-manual","artifacts/manual-intake/sources/gree/Owner's Manual GMV X DC Inverter VRF Units.pdf","needs-manual-review","Owner manual provides an error/status table row, but this inventory stage has no GMV X service or after-sales maintenance manual evidence for runtime-ready troubleshooting text."
"X series","C5","C5","gree-gmv-x-owner-manual","artifacts/manual-intake/sources/gree/Owner's Manual GMV X DC Inverter VRF Units.pdf","needs-manual-review","Owner manual provides an error/status table row, but this inventory stage has no GMV X service or after-sales maintenance manual evidence for runtime-ready troubleshooting text."
"X series","C7","C7","gree-gmv-x-owner-manual","artifacts/manual-intake/sources/gree/Owner's Manual GMV X DC Inverter VRF Units.pdf","needs-manual-review","Owner manual provides an error/status table row, but this inventory stage has no GMV X service or after-sales maintenance manual evidence for runtime-ready troubleshooting text."
"X series","CH","CH","gree-gmv-x-owner-manual","artifacts/manual-intake/sources/gree/Owner's Manual GMV X DC Inverter VRF Units.pdf","needs-manual-review","Owner manual provides an error/status table row, but this inventory stage has no GMV X service or after-sales maintenance manual evidence for runtime-ready troubleshooting text."
"X series","CL","CL","gree-gmv-x-owner-manual","artifacts/manual-intake/sources/gree/Owner's Manual GMV X DC Inverter VRF Units.pdf","needs-manual-review","Owner manual provides an error/status table row, but this inventory stage has no GMV X service or after-sales maintenance manual evidence for runtime-ready troubleshooting text."
"X series","A0","A0","gree-gmv-x-owner-manual","artifacts/manual-intake/sources/gree/Owner's Manual GMV X DC Inverter VRF Units.pdf","needs-manual-review","Owner manual provides an error/status table row, but this inventory stage has no GMV X service or after-sales maintenance manual evidence for runtime-ready troubleshooting text."
"X series","A3","A3","gree-gmv-x-owner-manual","artifacts/manual-intake/sources/gree/Owner's Manual GMV X DC Inverter VRF Units.pdf","needs-manual-review","Owner manual provides an error/status table row, but this inventory stage has no GMV X service or after-sales maintenance manual evidence for runtime-ready troubleshooting text."
"X series","A4","A4","gree-gmv-x-owner-manual","artifacts/manual-intake/sources/gree/Owner's Manual GMV X DC Inverter VRF Units.pdf","needs-manual-review","Owner manual provides an error/status table row, but this inventory stage has no GMV X service or after-sales maintenance manual evidence for runtime-ready troubleshooting text."
"X series","A8","A8","gree-gmv-x-owner-manual","artifacts/manual-intake/sources/gree/Owner's Manual GMV X DC Inverter VRF Units.pdf","needs-manual-review","Owner manual provides an error/status table row, but this inventory stage has no GMV X service or after-sales maintenance manual evidence for runtime-ready troubleshooting text."
"X series","Ay","AY","gree-gmv-x-owner-manual","artifacts/manual-intake/sources/gree/Owner's Manual GMV X DC Inverter VRF Units.pdf","needs-manual-review","Owner manual provides an error/status table row, but this inventory stage has no GMV X service or after-sales maintenance manual evidence for runtime-ready troubleshooting text."
"X series","n6","N6","gree-gmv-x-owner-manual","artifacts/manual-intake/sources/gree/Owner's Manual GMV X DC Inverter VRF Units.pdf","needs-manual-review","Owner manual provides an error/status table row, but this inventory stage has no GMV X service or after-sales maintenance manual evidence for runtime-ready troubleshooting text."
"X series","n7","N7","gree-gmv-x-owner-manual","artifacts/manual-intake/sources/gree/Owner's Manual GMV X DC Inverter VRF Units.pdf","needs-manual-review","Owner manual provides an error/status table row, but this inventory stage has no GMV X service or after-sales maintenance manual evidence for runtime-ready troubleshooting text."
"X series","n8","N8","gree-gmv-x-owner-manual","artifacts/manual-intake/sources/gree/Owner's Manual GMV X DC Inverter VRF Units.pdf","needs-manual-review","Owner manual provides an error/status table row, but this inventory stage has no GMV X service or after-sales maintenance manual evidence for runtime-ready troubleshooting text."
"X series","n9","N9","gree-gmv-x-owner-manual","artifacts/manual-intake/sources/gree/Owner's Manual GMV X DC Inverter VRF Units.pdf","needs-manual-review","Owner manual provides an error/status table row, but this inventory stage has no GMV X service or after-sales maintenance manual evidence for runtime-ready troubleshooting text."
"X series","nb","NB","gree-gmv-x-owner-manual","artifacts/manual-intake/sources/gree/Owner's Manual GMV X DC Inverter VRF Units.pdf","needs-manual-review","Owner manual provides an error/status table row, but this inventory stage has no GMV X service or after-sales maintenance manual evidence for runtime-ready troubleshooting text."
"X series","nn","NN","gree-gmv-x-owner-manual","artifacts/manual-intake/sources/gree/Owner's Manual GMV X DC Inverter VRF Units.pdf","needs-manual-review","Owner manual provides an error/status table row, but this inventory stage has no GMV X service or after-sales maintenance manual evidence for runtime-ready troubleshooting text."
"X series","qA","QA","gree-gmv-x-owner-manual","artifacts/manual-intake/sources/gree/Owner's Manual GMV X DC Inverter VRF Units.pdf","needs-manual-review","Owner manual provides an error/status table row, but this inventory stage has no GMV X service or after-sales maintenance manual evidence for runtime-ready troubleshooting text."
"X series","qH","QH","gree-gmv-x-owner-manual","artifacts/manual-intake/sources/gree/Owner's Manual GMV X DC Inverter VRF Units.pdf","needs-manual-review","Owner manual provides an error/status table row, but this inventory stage has no GMV X service or after-sales maintenance manual evidence for runtime-ready troubleshooting text."
"X series","qC","QC","gree-gmv-x-owner-manual","artifacts/manual-intake/sources/gree/Owner's Manual GMV X DC Inverter VRF Units.pdf","needs-manual-review","Owner manual provides an error/status table row, but this inventory stage has no GMV X service or after-sales maintenance manual evidence for runtime-ready troubleshooting text."
"X series","qP","QP","gree-gmv-x-owner-manual","artifacts/manual-intake/sources/gree/Owner's Manual GMV X DC Inverter VRF Units.pdf","needs-manual-review","Owner manual provides an error/status table row, but this inventory stage has no GMV X service or after-sales maintenance manual evidence for runtime-ready troubleshooting text."
"X series","qU","QU","gree-gmv-x-owner-manual","artifacts/manual-intake/sources/gree/Owner's Manual GMV X DC Inverter VRF Units.pdf","needs-manual-review","Owner manual provides an error/status table row, but this inventory stage has no GMV X service or after-sales maintenance manual evidence for runtime-ready troubleshooting text."
"X series","GMV X applicability","GMVXAPPLICABILITY","gree-gmv-x-technical-sales-guide","artifacts/manual-intake/sources/gree/Technical Sales Guide GMV X DC Inverter VRF Units.pdf","not-a-diagnostic-code","Technical sales guide is product applicability/engineering data only in this inventory."
"9 series Flex","","","source-missing-gmv9-flex-service-manual","","source-missing","No local GMV9 Flex manual/source record was found."
